Country, Unique_Journals, Year, Amount_English,
South Korea,7,2012,17,
South Korea,35,2013,141,
South Korea,20,2014,94,
South Korea,41,2015,162,
South Korea,20,2016,151,
South Korea,101,2017,494,
Colombia,22,2012,18,
Colombia,23,2013,18,
Colombia,24,2014,126,
Colombia,10,2015,83,
Colombia,18,2016,80,
Colombia,19,2017,235,
Algeria,4,2012,1,
Algeria,4,2013,2,
Algeria,5,2014,8,
Algeria,5,2015,6,
Algeria,3,2016,19,
Algeria,6,2017,1,
Spain,35,2012,212,
Spain,39,2013,220,
Spain,37,2014,293,
Spain,32,2015,278,
Spain,40,2016,274,
Spain,46,2017,349,
Canada,47,2012,439,
Canada,38,2013,462,
Canada,35,2014,455,
Canada,41,2015,435,
Canada,44,2016,427,
Canada,34,2017,466,
